+34 666 777 999;Z1257025Y;15:55:13 25/02/2013;0443118.1912N164283409.6523W;Halo Infinite (Xbox Series X|S);39.99€
277 232 936;X5702311J;2017-04-05 13:52;0393657.4895N093475676.9421W;Xbox Series S;299.99€
064 002 529;Y5957964K;16:12:03 21/01/2018;0655342.3357N1603032.7561E;PlayStation 5 (Digital Edition);449.99€
980 632 119;X1662516F;2005-09-18 01:00;0600120.8790N0471057.6623E;The Last of Us Part I (PS5);59.99€
117 934 156;89779509K;"April 14, 2022 1:31 AM";"35.2199, -10.8732";Halo Infinite (Xbox Series X|S);39.99€
958 476 531;27489461E;19:13:47 26/08/2016;01503377.9810S04701173.7949W;Pokémon Escarlata (Switch);59.99€
140 934 967;Z3880547X;"April 10, 2013 6:02 PM";0143340.7944N073485801.9826W;Super Smash Bros. Ultimate (Switch);59.99€
078 984 834;Y3111331Y;"January 3, 2005 11:46 PM";074212553.3798S1352414.3645E;Super Smash Bros. Ultimate (Switch);59.99€
187 807 035;Y5711942F;"November 17, 2015 8:11 PM";0114417.9947N143404825.8149W;Xbox Series S;299.99€
091 990 498;Y6188897B;"March 24, 2018 5:49 PM";"18° 25‘ 16.2611"" N, 100° 45‘ 25.7152"" E";Final Fantasy XVI (PS5);69.99€
524 759 657;79315929S;"September 28, 2004 1:29 PM";0194033.8634N014425068.2532W;Pokémon Escarlata (Switch);59.99€
484 807 676;86744077Z;"March 5, 2019 1:49 AM";"49° 26‘ 16.1874"" N, 175° 2‘ 269.2027"" W";God of War: Ragnarök (PS5);59.99€
104 950 291;91483586M;"September 13, 2009 1:13 PM";"-47.2657, 34.2510";Forza Horizon 5 (Xbox Series X|S);54.99€
271 132 404;50943051Y;17:50:36 15/06/2015;"65° 1‘ 143.9918"" S, 120° 23‘ 2782.8977"" W";Mario Kart 8 Deluxe (Switch);49.99€
773 109 988;X2468761X;"July 14, 2006 11:52 PM";067333998.8105S002536400.0787W;God of War: Ragnarök (PS5);59.99€
703 834 812;54083674W;2018-01-25 13:08;"-34.0696, 153.6473";Xbox Series S;299.99€
467 260 942;82804866J;"June 12, 2000 8:51 PM";"-27.4397, 32.0424";Xbox Series S;299.99€
501 270 513;Y3019679D;2000-11-10 00:54;0454550.5590N1333603.2389E;Steam Deck (512GB);679.99€
133 552 961;X5887078K;13:37:15 20/09/2013;017222655.9645S06106738.8484W;Nintendo Switch OLED Model;349.99€
516 796 285;X2734351L;"October 11, 2011 1:35 AM";006506044.0508S0331536.7142E;Starfield (Xbox Series X|S);69.99€
861 188 441;X8783118Q;"April 21, 2005 6:19 AM";"-7.3249, 59.5082";The Legend of Zelda: Tears of the Kingdom (Switch);69.99€
929 360 840;X1462579D;"October 14, 2003 8:16 AM";"8° 34‘ 42.7596"" N, 59° 49‘ 33.0564"" E";PlayStation 5 (Standard Edition);549.99€
